DrugID	TargetID
Aminophylline	134
Aminophylline	140
Aminophylline	5139
Aminopterin	64146
Aminoquinuride	45025515
Aminosalicylic acid	5742
Aminosalicylic acid	5743
Aminosalicylic acid	240
Aminosalicylic acid	30814
Aminosalicylic acid	1719
Aminosalicylic acid	1147
Amiodarone	90134
Amiodarone	155
Amiodarone	7068
Amiodarone	81033
Amiodarone	5465
Amiodarone	133522
Amiodarone	784
Amiodarone	153
Amiodarone	785
Amiodarone	8911
Amiodarone	782
Amiodarone	5468
Amiodarone	154
Amiodarone	783
Amiodarone	3757
Amiodarone	779
Amiodarone	775
Amiodarone	778
Amiodarone	7067
Amiodarone	776
Amiselimod	9294
Amisulpride	1813
Amisulpride	3356
Amisulpride	3363
Amisulpride	4985
Amisulpride	4986
Amisulpride	4988
Amisulpride	1814
Amitifadine	6531
Amitifadine	6532
Amitifadine	6530
Amitifadine	1813
Amitriptyline	3358
Amitriptyline	1131
Amitriptyline	1132
Amitriptyline	4986
Amitriptyline	90134
Amitriptyline	6532
Amitriptyline	147
Amitriptyline	1129
Amitriptyline	1133
Amitriptyline	3363
Amitriptyline	81033
Amitriptyline	6530
Amitriptyline	1128
Amitriptyline	4915
Amitriptyline	4988
Amitriptyline	3269
Amitriptyline	3350
Amitriptyline	150
Amitriptyline	3362
Amitriptyline	146
Amitriptyline	3736
Amitriptyline	3757
Amitriptyline	3351
Amitriptyline	25187
Amitriptyline	3356
Amitriptyline	148
Amitriptyline	10280
Amitriptyline	3352
Amitriptyline	4914
Amitriptyline	3274
Amitriptyline	59340
Amitriptyline	4985
Amitriptyline	3785
Amitriptyline	3786
Amivantamab	1956
Amivantamab	2214
Amivantamab	4233
Amlexanox	3320
Amlexanox	2246
Amlexanox	3562
Amlexanox	6284
Amlexanox	6283
Amlodipine	781
Amlodipine	774
Amlodipine	782
Amlodipine	55799
Amlodipine	8911
Amlodipine	759
Amlodipine	775
Amlodipine	6609
Amobarbital	2559
Amobarbital	2556
Amobarbital	2898
Amobarbital	2555
Amobarbital	2554
Amobarbital	2558
Amobarbital	89832
Amobarbital	2557
Amobarbital	1137
Amobarbital	2891
Amodiaquine	3176
Amonafide	7153
Amonafide	7155
Amoxapine	1132
Amoxapine	3350
Amoxapine	1133
Amoxapine	146
Amoxapine	3358
Amoxapine	150
Amoxapine	1128
Amoxapine	1813
Amoxapine	1815
Amoxapine	151
Amoxapine	1131
Amoxapine	2554
Amoxapine	1129
Amoxapine	2560
Amoxapine	2566
Amoxapine	6530
